title,genres
"Karate Kid, Part III, The (1989)",Action
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy
You've Got Mail (1998),Comedy
"General, The (1998)",Crime
"Thin Red Line, The (1998)",Action
"Faculty, The (1998)",Horror
Mighty Joe Young (1998),Action
Mighty Joe Young (1949),Adventure
Patch Adams (1998),Comedy
Stepmom (1998),Drama
"Civil Action, A (1998)",Drama
Down in the Delta (1998),Drama
Hurlyburly (1998),Drama
Tea with Mussolini (1999),Comedy
Wilde (1997),Drama
Outside Ozona (1998),Comedy
Affliction (1997),Drama
Another Day in Paradise (1998),Drama
"Hi-Lo Country, The (1998)",Drama
Hilary and Jackie (1998),Drama
Playing by Heart (1998),Drama
At First Sight (1999),Drama
In Dreams (1999),Horror
Varsity Blues (1999),Comedy
Virus (1999),Horror
"Garbage Pail Kids Movie, The (1987)",Adventure
Howard the Duck (1986),Adventure
"Gate, The (1987)",Horror
"Boy Who Could Fly, The (1986)",Drama
"Fly, The (1958)",Horror
"Fly, The (1986)",Drama
"Fly II, The (1989)",Horror
Running Scared (1986),Action
Armed and Dangerous (1986),Comedy
"Texas Chainsaw Massacre, The (1974)",Horror
"Texas Chainsaw Massacre 2, The (1986)",Horror
Leatherface: Texas Chainsaw Massacre III (1990),Comedy
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),Horror
Ruthless People (1986),Comedy
Trick or Treat (1986),Horror
Deadly Friend (1986),Horror
"Name of the Rose, The (Name der Rose, Der) (1986)",Crime
Jumpin' Jack Flash (1986),Action
Peggy Sue Got Married (1986),Comedy
Crocodile Dundee (1986),Adventure
Crocodile Dundee II (1988),Action
Tough Guys (1986),Comedy
Soul Man (1986),Comedy
"Color of Money, The (1986)",Drama
52 Pick-Up (1986),Action
Heartbreak Ridge (1986),Action
¡Three Amigos! (1986),Comedy
Gloria (1999),Drama
My Name Is Joe (1998),Drama
Still Crazy (1998),Comedy
"Day of the Beast, The (Día de la Bestia, El) (1995)",Adventure
She's All That (1999),Comedy
"24 Hour Woman, The (1998)",Comedy
"Blood, Guts, Bullets and Octane (1998)",Action
Peeping Tom (1960),Drama
Payback (1999),Action
Simply Irresistible (1999),Comedy
20 Dates (1998),Comedy
"Harmonists, The (1997)",Drama
"Last Days, The (1998)",Documentary
"Fantastic Planet, The (Planète sauvage, La) (1973)",Animation
Blast from the Past (1999),Comedy
Message in a Bottle (1999),Romance
My Favorite Martian (1999),Comedy
God Said 'Ha!' (1998),Comedy
Jawbreaker (1999),Comedy
October Sky (1999),Drama
Office Space (1999),Comedy
200 Cigarettes (1999),Comedy
8MM (1999),Drama
"Other Sister, The (1999)",Comedy
Breakfast of Champions (1999),Comedy
"Long Goodbye, The (1973)",Crime
Pet Sematary (1989),Horror
Pet Sematary II (1992),Comedy
Children of the Corn II: The Final Sacrifice (1993),Horror
Children of the Corn III (1994),Horror
Christine (1983),Horror
Night Shift (1982),Comedy
House on Haunted Hill (1959),Drama
Airport (1970),Drama
Airport 1975 (1974),Action
Airport '77 (1977),Drama
Rollercoaster (1977),Drama
"Towering Inferno, The (1974)",Action
Alligator (1980),Action
Meteor (1979),Sci-Fi
Westworld (1973),Action
Logan's Run (1976),Action
Planet of the Apes (1968),Action
Beneath the Planet of the Apes (1970),Action
Battle for the Planet of the Apes (1973),Action
Conquest of the Planet of the Apes (1972),Action
Escape from the Planet of the Apes (1971),Action
Avalanche (1978),Action
Earthquake (1974),Action
"Concorde: Airport '79, The (1979)",Drama
Beyond the Poseidon Adventure (1979),Adventure
Analyze This (1999),Comedy
"Corruptor, The (1999)",Action
Cruel Intentions (1999),Drama
"Lock, Stock & Two Smoking Barrels (1998)",Comedy
Relax... It's Just Sex (1998),Comedy
"Deep End of the Ocean, The (1999)",Drama
"Rage: Carrie 2, The (1999)",Horror
Wing Commander (1999),Action
"Haunting, The (1963)",Horror
Dead Ringers (1988),Drama
My Boyfriend's Back (1993),Comedy
Village of the Damned (1960),Horror
Children of the Damned (1963),Horror
Baby Geniuses (1999),Comedy
I Stand Alone (Seul contre tous) (1998),Drama
Forces of Nature (1999),Comedy
"King and I, The (1999)",Animation
Ravenous (1999),Horror
True Crime (1999),Crime
Bandits (1997),Drama
Dangerous Beauty (1998),Drama
"King and I, The (1956)",Drama
Doug's 1st Movie (1999),Animation
EDtv (1999),Comedy
"Mod Squad, The (1999)",Action
Among Giants (1998),Comedy
"Walk on the Moon, A (1999)",Drama
"Matrix, The (1999)",Action
10 Things I Hate About You (1999),Comedy
Tango (1998),Drama
"Out-of-Towners, The (1999)",Comedy
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama
Metroland (1997),Comedy
Following (1998),Crime
Go (1999),Comedy
Never Been Kissed (1999),Comedy
Twin Dragons (Shuang long hui) (1992),Action
Cookie's Fortune (1999),Comedy
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",Drama
Goodbye Lover (1999),Comedy
Life (1999),Comedy
Friends & Lovers (1999),Comedy
Hideous Kinky (1998),Drama
Open Your Eyes (Abre los ojos) (1997),Drama
SLC Punk! (1998),Comedy
Lost & Found (1999),Comedy
Pushing Tin (1999),Comedy
Election (1999),Comedy
eXistenZ (1999),Action
Entrapment (1999),Crime
Idle Hands (1999),Comedy
Get Real (1998),Drama
"King of Masks, The (Bian Lian) (1996)",Drama
Three Seasons (1999),Drama
"Winslow Boy, The (1999)",Drama
Mildred Pierce (1945),Drama
Night of the Comet (1984),Comedy
My Science Project (1985),Adventure
Dick Tracy (1990),Action
"Mummy, The (1999)",Action
"Castle, The (1997)",Comedy
This Is My Father (1998),Drama
Xiu Xiu: The Sent-Down Girl (Tian yu) (1998),Drama
William Shakespeare's A Midsummer Night's Dream (1999),Comedy
After Life (Wandafuru raifu) (1998),Drama
Black Mask (Hak hap) (1996),Action
Edge of Seventeen (1998),Comedy
Endurance (1999),Documentary
Star Wars: Episode I - The Phantom Menace (1999),Action
"Love Letter, The (1999)",Comedy
Besieged (a.k.a. L' Assedio) (1998),Drama
Frogs for Snakes (1998),Comedy
"Mummy, The (1932)",Horror
"Mummy, The (1959)",Horror
"Mummy's Curse, The (1944)",Horror
"Mummy's Ghost, The (1944)",Horror
"Mummy's Hand, The (1940)",Horror
"Mummy's Tomb, The (1942)",Horror
Mommie Dearest (1981),Drama
Superman (1978),Action
Superman II (1980),Action
Superman III (1983),Action
Superman IV: The Quest for Peace (1987),Action
Dracula (1931),Horror
House of Frankenstein (1944),Horror
Frankenstein (1931),Drama
Son of Frankenstein (1939),Horror
"Ghost of Frankenstein, The (1942)",Horror
Frankenstein Meets the Wolf Man (1943),Horror
"Curse of Frankenstein, The (1957)",Horror
Son of Dracula (1943),Horror
"Wolf Man, The (1941)",Drama
Howling II: Your Sister Is a Werewolf (1985),Horror
Tarantula (1955),Horror
"Rocky Horror Picture Show, The (1975)",Comedy
It Came from Hollywood (1982),Comedy
"Thing from Another World, The (1951)",Horror
It Came from Outer Space (1953),Sci-Fi
"War of the Worlds, The (1953)",Action
Invasion of the Body Snatchers (1956),Horror
Swamp Thing (1982),Horror
Pork Chop Hill (1959),War
Run Silent Run Deep (1958),War
Notting Hill (1999),Comedy
"Thirteenth Floor, The (1999)",Drama
Eternity and a Day (Mia aoniotita kai mia mera) (1998),Drama
"Loss of Sexual Innocence, The (1999)",Drama
Instinct (1999),Drama
Buena Vista Social Club (1999),Documentary
Desert Blue (1998),Drama
Free Enterprise (1998),Comedy
Limbo (1999),Drama
Austin Powers: The Spy Who Shagged Me (1999),Action
"Red Violin, The (Violon rouge, Le) (1998)",Drama
Tarzan (1999),Adventure
"General's Daughter, The (1999)",Crime
Get Bruce (1999),Documentary
"Ideal Husband, An (1999)",Comedy
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",Drama
Run Lola Run (Lola rennt) (1998),Action
Trekkies (1997),Documentary
Big Daddy (1999),Comedy
"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy
My Son the Fanatic (1997),Comedy
Arachnophobia (1990),Comedy
"South Park: Bigger, Longer and Uncut (1999)",Animation
Wild Wild West (1999),Action
Summer of Sam (1999),Drama
"Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991)",Drama
American Pie (1999),Comedy
Arlington Road (1999),Thriller
"Autumn Tale, An (Conte d'automne) (1998)",Romance
Muppets From Space (1999),Children
"Blair Witch Project, The (1999)",Drama
Eyes Wide Shut (1999),Drama
Lake Placid (1999),Horror
"Wood, The (1999)",Drama
"Velocity of Gary, The (1998)",Comedy
Ghostbusters (a.k.a. Ghost Busters) (1984),Action
Ghostbusters II (1989),Comedy
Drop Dead Gorgeous (1999),Comedy
"Haunting, The (1999)",Horror
Inspector Gadget (1999),Action
Trick (1999),Comedy
Deep Blue Sea (1999),Action
Mystery Men (1999),Action
Runaway Bride (1999),Comedy
Twin Falls Idaho (1999),Drama
"Killing, The (1956)",Crime
Killer's Kiss (1955),Crime
Spartacus (1960),Action
Lolita (1962),Drama
Barry Lyndon (1975),Drama
"400 Blows, The (Les quatre cents coups) (1959)",Crime
Jules and Jim (Jules et Jim) (1961),Drama
Vibes (1988),Adventure
"Mosquito Coast, The (1986)",Adventure
"Golden Child, The (1986)",Action
Brighton Beach Memoirs (1986),Comedy
Crimes of the Heart (1986),Comedy
"Color Purple, The (1985)",Drama
No Mercy (1986),Action
"Mission, The (1986)",Drama
Little Shop of Horrors (1986),Comedy
"Little Shop of Horrors, The (1960)",Comedy
Allan Quatermain and the Lost City of Gold (1987),Action
"Morning After, The (1986)",Drama
Radio Days (1987),Comedy
From the Hip (1987),Comedy
Outrageous Fortune (1987),Comedy
"Bedroom Window, The (1987)",Thriller
Deadtime Stories (1987),Horror
Light of Day (1987),Drama
Frances (1982),Drama
Plenty (1985),Drama
Dick (1999),Comedy
"Iron Giant, The (1999)",Adventure
"Sixth Sense, The (1999)",Drama
"Thomas Crown Affair, The (1999)",Action
"Thomas Crown Affair, The (1968)",Crime
"Adventures of Sebastian Cole, The (1998)",Comedy
Illuminata (1998),Comedy
"Yards, The (2000)",Crime
Bowfinger (1999),Comedy
Brokedown Palace (1999),Drama
Detroit Rock City (1999),Comedy
Better Than Chocolate (1999),Comedy
Head On (1998),Drama
"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo) (1997)",Documentary
Heaven Can Wait (1978),Comedy
"Raven, The (1963)",Comedy
"Tingler, The (1959)",Horror
Pit and the Pendulum (1961),Horror
"Tomb of Ligeia, The (1965)",Horror
"Masque of the Red Death, The (1964)",Horror
Haunted Honeymoon (1986),Comedy
Cat's Eye (1985),Horror
Monty Python's And Now for Something Completely Different (1971),Comedy
Damien: Omen II (1978),Horror
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",Horror
Airplane! (1980),Comedy
Airplane II: The Sequel (1982),Comedy
"American Werewolf in Paris, An (1997)",Comedy
European Vacation (aka National Lampoon's European Vacation) (1985),Adventure
National Lampoon's Vacation (1983),Comedy
Funny Farm (1988),Comedy
Big (1988),Comedy
Problem Child (1990),Children
Problem Child 2 (1991),Comedy
Little Nemo: Adventures in Slumberland (1992),Adventure
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),Drama
Tequila Sunrise (1988),Action
"Pelican Brief, The (1993)",Crime
"Christmas Story, A (1983)",Children
Mickey Blue Eyes (1999),Comedy
Teaching Mrs. Tingle (1999),Comedy
Universal Soldier: The Return (1999),Action
Universal Soldier (1992),Action
Love Stinks (1999),Comedy
Perfect Blue (1997),Animation
In Too Deep (1999),Action
Iron Eagle (1986),Action
Iron Eagle II (1988),Action
Aces: Iron Eagle III (1992),Action
Three Days of the Condor (3 Days of the Condor) (1975),Drama
Hamlet (1964),Drama
Medicine Man (1992),Adventure
On the Ropes (1999),Documentary
"13th Warrior, The (1999)",Action
"Astronaut's Wife, The (1999)",Horror
Dudley Do-Right (1999),Children
"Muse, The (1999)",Comedy
"Lost Son, The (1999)",Drama
Chill Factor (1999),Action
Outside Providence (1999),Comedy
Bedrooms & Hallways (1998),Comedy
West Beirut (West Beyrouth) (1998),Drama
Stigmata (1999),Drama
Stir of Echoes (1999),Horror
"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy
"Minus Man, The (1999)",Drama
Whiteboyz (1999),Comedy
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",Adventure
Only Angels Have Wings (1939),Adventure
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama
Queens Logic (1991),Comedy
Public Access (1993),Drama
Saturn 3 (1980),Adventure
"Soldier's Story, A (1984)",Drama
"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)",Horror
Nightmares (1983),Horror
I Saw What You Did (1965),Thriller
Yellow Submarine (1968),Adventure
American Beauty (1999),Drama
Stop Making Sense (1984),Documentary
Blue Streak (1999),Comedy
For Love of the Game (1999),Comedy
Caligula (1979),Drama
"Hard Day's Night, A (1964)",Adventure
Splendor (1999),Comedy
"Buddy Holly Story, The (1978)",Drama
Fright Night (1985),Comedy
Fright Night Part II (1988),Horror
"Separation, The (Séparation, La) (1994)",Drama
Barefoot in the Park (1967),Comedy
Deliverance (1972),Adventure
Excalibur (1981),Adventure
"Pajama Game, The (1957)",Comedy
Sommersby (1993),Drama
Thumbelina (1994),Animation
Tommy (1975),Musical
Hell Night (1981),Horror
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),Action
Armour of God (Long xiong hu di) (1987),Action
Double Jeopardy (1999),Action
Jakob the Liar (1999),Drama
Mumford (1999),Comedy
Dog Park (1998),Comedy
Guinevere (1999),Drama
"Adventures of Elmo in Grouchland, The (1999)",Children
Simon Sez (1999),Action
Drive Me Crazy (1999),Comedy
"Mystery, Alaska (1999)",Comedy
Three Kings (1999),Action
"Happy, Texas (1999)",Comedy
New Rose Hotel (1998),Action
Plunkett & MaCleane (1999),Action
Romance (1999),Drama
And the Ship Sails On (E la nave va) (1983),Comedy
"Dark Half, The (1993)",Horror
Gulliver's Travels (1939),Adventure
Monkey Shines (1988),Horror
Phantasm (1979),Horror
Psycho II (1983),Horror
Psycho III (1986),Horror
Rain (1932),Drama
Sanjuro (Tsubaki Sanjûrô) (1962),Action
Random Hearts (1999),Drama
Superstar (1999),Comedy
Boys Don't Cry (1999),Drama
"Limey, The (1999)",Crime
The Mating Habits of the Earthbound Human (1999),Comedy
Risky Business (1983),Comedy
Total Recall (1990),Action
Body Heat (1981),Crime
Ferris Bueller's Day Off (1986),Comedy
"Year of Living Dangerously, The (1982)",Drama
Children of Paradise (Les enfants du paradis) (1945),Drama
High Plains Drifter (1973),Western
Hang 'Em High (1968),Crime
Handle with Care (a.k.a. Citizen's Band) (1977),Comedy
Drunken Master (Jui kuen) (1978),Action
"Conformist, The (Conformista, Il) (1970)",Drama
Hairspray (1988),Comedy
Brief Encounter (1946),Drama
"Razor's Edge, The (1984)",Drama
Reds (1981),Drama
Return with Honor (1998),Documentary
Days of Heaven (1978),Drama
"Lady Eve, The (1941)",Comedy
Sullivan's Travels (1941),Adventure
"Palm Beach Story, The (1942)",Comedy
Man Facing Southeast (1986),Drama
Niagara (1953),Drama
Gilda (1946),Drama
South Pacific (1958),Musical
Flashdance (1983),Drama
Indochine (1992),Drama
"Dirty Dozen, The (1967)",Action
Mike's Murder (1984),Mystery
Help! (1965),Comedy
Goldfinger (1964),Action
From Russia with Love (1963),Action
Dr. No (1962),Action
"Blue Lagoon, The (1980)",Adventure
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",Action
Sydney (Hard Eight) (1996),Crime
Home Alone 2: Lost in New York (1992),Children
Someone to Watch Over Me (1987),Action
Fight Club (1999),Action
"Story of Us, The (1999)",Comedy
Fever Pitch (1997),Comedy
Julien Donkey-Boy (1999),Drama
"Straight Story, The (1999)",Adventure
"Bad Seed, The (1956)",Drama
Time Bandits (1981),Adventure
"Man and a Woman, A (Un homme et une femme) (1966)",Drama
Fitzcarraldo (1982),Adventure
All That Jazz (1979),Drama
Red Sorghum (Hong gao liang) (1987),Drama
Crimes and Misdemeanors (1989),Comedy
Bats (1999),Horror
"Best Man, The (1999)",Comedy
Bringing Out the Dead (1999),Drama
Crazy in Alabama (1999),Comedy
Three to Tango (1999),Comedy
Body Shots (1999),Drama
"Brother, Can You Spare a Dime? (1975)",Documentary
"Guardian, The (1990)",Horror
"Ipcress File, The (1965)",Thriller
On Any Sunday (1971),Documentary
RoboCop (1987),Action
RoboCop 2 (1990),Action
Who Framed Roger Rabbit? (1988),Adventure
Melvin and Howard (1980),Drama
For Your Eyes Only (1981),Action
Licence to Kill (1989),Action
Live and Let Die (1973),Action
Rawhead Rex (1986),Horror
Thunderball (1965),Action
House on Haunted Hill (1999),Horror
Music of the Heart (1999),Drama
Being John Malkovich (1999),Comedy
Dreaming of Joseph Lees (1999),Drama
Princess Mononoke (Mononoke-hime) (1997),Action
"Suburbans, The (1999)",Drama
My Best Fiend (Mein liebster Feind) (1999),Documentary
Train of Life (Train de vie) (1998),Comedy
"Bachelor, The (1999)",Comedy
"Bone Collector, The (1999)",Thriller
"Insider, The (1999)",Drama
American Movie (1999),Documentary
Last Night (1998),Drama
Rosetta (1999),Drama
"They Shoot Horses, Don't They? (1969)",Drama
Bride of Re-Animator (1990),Comedy
Coma (1978),Thriller
Creepshow (1982),Horror
Creepshow 2 (1987),Horror
Re-Animator (1985),Comedy
Drugstore Cowboy (1989),Crime
Falling Down (1993),Action
"Funhouse, The (1981)",Horror
"General, The (1926)",Comedy
Piranha (1978),Horror
Rough Night in Jericho (1967),Western
"Taming of the Shrew, The (1967)",Comedy
Nighthawks (1981),Action
Yojimbo (1961),Action
Repossessed (1990),Comedy
"Omega Man, The (1971)",Action
Spaceballs (1987),Comedy
Robin Hood (1973),Adventure
Mister Roberts (1955),Comedy
"Quest for Fire (Guerre du feu, La) (1981)",Adventure
Little Big Man (1970),Western
"Face in the Crowd, A (1957)",Drama
Trading Places (1983),Comedy
Meatballs (1979),Comedy
Meatballs Part II (1984),Comedy
Meatballs III (1987),Comedy
Meatballs 4 (1992),Comedy
Dead Again (1991),Mystery
Peter's Friends (1992),Comedy
"Incredibly True Adventure of Two Girls in Love, The (1995)",Comedy
Experience Preferred... But Not Essential (1982),Drama
Under the Rainbow (1981),Comedy
Anywhere But Here (1999),Comedy
Dogma (1999),Adventure
"Messenger: The Story of Joan of Arc, The (1999)",Drama
Pokémon: The First Movie (1998),Adventure
Felicia's Journey (1999),Thriller
Where's Marlowe? (1998),Comedy
"Commitments, The (1991)",Comedy
Holiday Inn (1942),Comedy
"Longest Day, The (1962)",Action
Poison Ivy (1992),Drama
Poison Ivy: New Seduction (1997),Drama
Tora! Tora! Tora! (1970),Action
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),Comedy
"Verdict, The (1982)",Drama
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",Drama
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",Adventure
Stand and Deliver (1988),Comedy
Moonstruck (1987),Comedy
Jeremiah Johnson (1972),Western
Repulsion (1965),Drama
Irma la Douce (1963),Comedy
42 Up (1998),Documentary
Liberty Heights (1999),Drama
Mansfield Park (1999),Comedy
Sleepy Hollow (1999),Fantasy
"World Is Not Enough, The (1999)",Action
All About My Mother (Todo sobre mi madre) (1999),Drama
Babes in Toyland (1934),Children
Scrooged (1988),Comedy
Harvey (1950),Comedy
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama
Matewan (1987),Drama
Kagemusha (1980),Drama
McCabe & Mrs. Miller (1971),Drama
Maurice (1987),Drama
"Grapes of Wrath, The (1940)",Drama
My Man Godfrey (1957),Comedy
"Shop Around the Corner, The (1940)",Comedy
"Natural, The (1984)",Drama
Shampoo (1975),Comedy
"River Runs Through It, A (1992)",Drama
Fatal Attraction (1987),Drama
Jagged Edge (1985),Crime
Stanley & Iris (1990),Drama
Midnight Run (1988),Action
Awakenings (1990),Drama
Come See the Paradise (1990),Drama
Backdraft (1991),Action
"Fisher King, The (1991)",Comedy
"River, The (1984)",Drama
Country (1984),Drama
Places in the Heart (1984),Drama
'night Mother (1986),Drama
End of Days (1999),Action
Toy Story 2 (1999),Adventure
Flawless (1999),Drama
Miss Julie (1999),Drama
Ride with the Devil (1999),Drama
Tumbleweeds (1999),Drama
"Distinguished Gentleman, The (1992)",Comedy
"Hitch-Hiker, The (1953)",Drama
Santa Fe Trail (1940),Drama
"End of the Affair, The (1999)",Drama
Holy Smoke (1999),Comedy
"Map of the World, A (1999)",Drama
Sweet and Lowdown (1999),Comedy
Bonfire of the Vanities (1990),Comedy
Go West (1925),Comedy
Grand Illusion (La grande illusion) (1937),Drama
"Great Santini, The (1979)",Drama
"James Dean Story, The (1957)",Documentary
Stealing Home (1988),Drama
Three Ages (1923),Comedy
"Two Jakes, The (1990)",Drama
U2: Rattle and Hum (1988),Documentary
Hell in the Pacific (1968),Drama
"Glass Bottom Boat, The (1966)",Comedy
Cradle Will Rock (1999),Drama
Deuce Bigalow: Male Gigolo (1999),Comedy
"Green Mile, The (1999)",Crime
"Cider House Rules, The (1999)",Drama
"War Zone, The (1999)",Drama
"Last Picture Show, The (1971)",Drama
"7th Voyage of Sinbad, The (1958)",Action
Anna and the King (1999),Drama
Bicentennial Man (1999),Drama
Stuart Little (1999),Children
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Drama
Fantasia 2000 (1999),Animation
Magnolia (1999),Drama
Onegin (1999),Drama
Topsy-Turvy (1999),Comedy
Boiling Point (1993),Action
Brenda Starr (1989),Adventure
Carnal Knowledge (1971),Comedy
Easy Rider (1969),Adventure
The Falcon and the Snowman (1985),Crime
Room at the Top (1959),Drama
Any Given Sunday (1999),Drama
Man on the Moon (1999),Comedy
Galaxy Quest (1999),Adventure
"Talented Mr. Ripley, The (1999)",Drama
Next Friday (2000),Comedy
"Hurricane, The (1999)",Drama
Angela's Ashes (1999),Drama
Play it to the Bone (1999),Comedy
Titus (1999),Drama
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary
"Third Miracle, The (1999)",Drama
Snow Falling on Cedars (1999),Drama
"Girl, Interrupted (1999)",Drama
"Life and Times of Hank Greenberg, The (1998)",Documentary
My Dog Skip (1999),Children
Supernova (2000),Adventure
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",Drama
"Way We Were, The (1973)",Drama
Stalag 17 (1953),Drama
"Presidio, The (1988)",Action
Papillon (1973),Crime
Pal Joey (1957),Comedy
"Last Detail, The (1973)",Comedy
Five Easy Pieces (1970),Drama
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama
Dead Calm (1989),Thriller
"Boys from Brazil, The (1978)",Action
Black Sunday (La maschera del demonio) (1960),Horror
Against All Odds (1984),Romance
"Snows of Kilimanjaro, The (1952)",Adventure
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),Action
Fast Times at Ridgemont High (1982),Comedy
"Cry in the Dark, A (1988)",Drama
Batman: Mask of the Phantasm (1993),Animation
American Flyers (1985),Drama
"Vampyros Lesbos (Vampiras, Las) (1971)",Fantasy
"Star Is Born, A (1937)",Drama
Poison (1991),Drama
Pacific Heights (1990),Mystery
"Draughtsman's Contract, The (1982)",Drama
"Zed & Two Noughts, A (1985)",Drama
Woman in the Dunes (Suna no onna) (1964),Drama
Down to You (2000),Comedy
Seven Chances (1925),Comedy
Where the Buffalo Roam (1980),Comedy
Eye of the Beholder (1999),Thriller
Isn't She Great? (2000),Comedy
"Big Tease, The (1999)",Comedy
"Cup, The (Phörpa) (1999)",Comedy
Encino Man (1992),Comedy
"Goodbye Girl, The (1977)",Comedy
I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama
Malcolm X (1992),Drama
Sister Act (1992),Comedy
Sister Act 2: Back in the Habit (1993),Comedy
"Hand That Rocks the Cradle, The (1992)",Drama
Alive (1993),Drama
Agnes of God (1985),Drama
Scent of a Woman (1992),Drama
Wayne's World (1992),Comedy
Wayne's World 2 (1993),Comedy
"League of Their Own, A (1992)",Comedy
Patriot Games (1992),Action
"Bodyguard, The (1992)",Drama
Death Becomes Her (1992),Comedy
Far and Away (1992),Adventure
Howards End (1992),Drama
Singles (1992),Comedy
Twin Peaks: Fire Walk with Me (1992),Crime
White Men Can't Jump (1992),Comedy
Buffy the Vampire Slayer (1992),Action
Hard-Boiled (Lat sau san taam) (1992),Action
Man Bites Dog (C'est arrivé près de chez vous) (1992),Comedy
"Mariachi, El (1992)",Action
Stop! Or My Mom Will Shoot (1992),Action
Forever Young (1992),Drama
"Cutting Edge, The (1992)",Comedy
Of Mice and Men (1992),Drama
Bad Lieutenant (1992),Crime
Scream 3 (2000),Comedy
Single White Female (1992),Drama
"Boondock Saints, The (2000)",Action
Gun Shy (2000),Comedy
"Brandon Teena Story, The (1998)",Documentary
Different for Girls (1996),Comedy
They Might Be Giants (1971),Comedy
"Beach, The (2000)",Adventure
Snow Day (2000),Comedy
"Tigger Movie, The (2000)",Animation
Not One Less (Yi ge dou bu neng shao) (1999),Drama
"Big Combo, The (1955)",Film-Noir
Eaten Alive (1977),Horror
To Sir with Love (1967),Drama
Boiler Room (2000),Crime
Hanging Up (2000),Comedy
Pitch Black (2000),Horror
"Whole Nine Yards, The (2000)",Comedy
Beautiful People (1999),Comedy
Black Tar Heroin: The Dark End of the Street (2000),Documentary
Blue Collar (1978),Crime
"Circus, The (1928)",Comedy
City Lights (1931),Comedy
"Flamingo Kid, The (1984)",Comedy
"Dog's Life, A (1918)",Comedy
"Kid, The (1921)",Comedy
Class Reunion (1982),Comedy
"Big Trees, The (1952)",Action
Reindeer Games (2000),Action
Wonder Boys (2000),Comedy
Deterrence (1999),Drama
Mifune's Last Song (Mifunes sidste sang) (1999),Comedy
Drowning Mona (2000),Comedy
"Next Best Thing, The (2000)",Comedy
What Planet Are You From? (2000),Comedy
Beyond the Mat (1999),Documentary
Ghost Dog: The Way of the Samurai (1999),Crime
The Year My Voice Broke (1987),Drama
Splendor in the Grass (1961),Drama
My Tutor (1983),Drama
Key Largo (1948),Crime
For All Mankind (1989),Documentary
Cross of Iron (1977),War
Bride of the Monster (1955),Horror
Born Yesterday (1950),Comedy
Birdy (1984),Drama
And God Created Woman (1988),Comedy
Blood Feast (1963),Horror
Never Cry Wolf (1983),Adventure
"Perils of Pauline, The (1947)",Comedy
"Raisin in the Sun, A (1961)",Drama
Two Thousand Maniacs! (1964),Horror
Mission to Mars (2000),Sci-Fi
"Ninth Gate, The (1999)",Fantasy
East-West (Est-ouest) (1999),Drama
Defending Your Life (1991),Comedy
Breaking Away (1979),Comedy
Hoosiers (a.k.a. Best Shot) (1986),Drama
Bull Durham (1988),Comedy
Dog Day Afternoon (1975),Crime
American Graffiti (1973),Comedy
"Asphalt Jungle, The (1950)",Crime
"Searchers, The (1956)",Drama
"Big Country, The (1958)",Romance
Betrayed (1988),Drama
Bound for Glory (1976),Drama
Hangmen Also Die! (1943),Drama
On the Beach (1959),Drama
Railroaded! (1947),Film-Noir
"Taking of Pelham One Two Three, The (1974)",Action
Volunteers (1985),Comedy
JFK (1991),Drama
Who's Harry Crumb? (1989),Comedy
Harry and the Hendersons (1987),Children
Shanghai Surprise (1986),Adventure
Who's That Girl? (1987),Comedy
She-Devil (1989),Comedy
Date with an Angel (1987),Comedy
Blind Date (1987),Comedy
Nadine (1987),Comedy
"Muppet Movie, The (1979)",Adventure
"Great Muppet Caper, The (1981)",Children
"Muppets Take Manhattan, The (1984)",Children
